: homophones-analogy-type-I
caret carat manor manna
crosse cross feaze feeze
castor caster ferry fairy
epic epoch indite indict
cole coal tuff tough
aunt aren't missile missal
manna manner sone sown
dam damn pressed prest
remittents remittence uncal uncle
reed read roll role
bogey bogy lea lee
lane lain pyx pix
phrase fraise neap neep
all awl pros prose
aery airy ark arc
waste waist wheel we'll
baize beys rays raze
handsome hansom wind whined
consent concent unreel unreal
ewe you gilled gild
nae nee whack wack
do dough phlox flocks
aye i creek creak
pause pours pore poor
brain brane cession session
fort forte gorde gourde
gourde gorde soar sore
soak soke tye tai
dental dentil millinery millenary
prince prints remittance remittence
mall maul pennants penance
bear bare chilly chili
father farther leech leach
ass as cyst cist
bow bough slue slew
forego forgo nay nee
gator gaiter hue hew
knead need lice lyse
descent dissent whither wither
dew due roos ruse
isle i'll kerb curb
gilt guilt stayed staid
hawed horde succulence succulents
coddling codling lamb lam
shot chott hie hi
it's its sea see
council counsel dyer dire
tuff tough undo undue
bocks box populace populus
seeder ceder tale tael
climb clime residence residents
emerge immerge warranty warrantee
bourne bourn ticks tix
sense cense stade stayed
confectionary confectionery tael tail
instillation installation nock knock
ore awe sorry sari
salter psalter seamen seaman
incidents incidence si see
turban turbine waul wall
sandy sandhi whirl whorl
byte bite tung tongue
scent sent nun none
nae nee planar plainer
can't cant teal teil
voracious veracious weakly weekly
loess less tied tide
ease aes clabbered clapboard
sent cent impotence impotents
burro burrow cent scent
per purr wail wale
chitin chiton win wynn
bazaar bizarre whine wine
bomb balm compliment complement
cay key scent sent
house how's weir we're
martin marten pah parr
pharming farming scye psi
altar alter horde whored
its it's poller polar
bray brae rede read
chance chants knar gnar
lax lacks rows rhos
shanty chanty reed rede
cored chord scalar scaler
been bean fane fain
knar gnar him hymn
bare bear incandescents incandescence
casque cask duel dual
eyelet islet hae hey
sere cere condescendence condescendents
brayed braid pinion pinon
for fore gourd gorde
saw soar tack tach
peal peel tach tack
pah pas rhos rows
disperse disburse its it's
frays fraise lei ley
pyxie pixie sac sacque
fort forte praise prase
air heir more moor
auger augur pare pear
ducked duct leas laze
knew new wight white
baize beys lye lie
prase prays steel stele
burred burd fere fear
duel jewel heigh hey
complaisant complacent no know
sere cere fro froe
ban bann haw whore
elusion illusion parr pah
crewel cruel rues roos
auger augur sown sone
sigh psi tried tride
freeze frieze rued rude
seal seel taupe tope
cirrous serous do dough
carpel carpal drupe droop
cell cel imminent immanent
chair chare four fore
freak phreak poor pour
hae hay poller polar
bettor better carpel carpal
pupil pupal tacked tact
rowed rode shown shone
accidence accidents flex flecks
ayre are dependents dependence
pah par summary summery
shoot chute knickers nickers
tole toll your yaw
mean mesne wack whack
logger lager remittents remittance
conk conch politick politic
bye by way whey
raid rayed riot ryot
bight bite semen seaman
mein mane planar planer
choler collar culler color
fryer friar raze raise
balm bomb braes brays
fissure fisher pendent pendant
karat carrot senser censor
sere sear impassable impassible
grown groan read red
jewel duel slue slew
cant can't led lead
friar fryer hays haze
bourne bourn burro burrow
lade laid lays leis
coal cole lei lay
burr bur pick pic
ale ail lakh lack
mordent mordant wracks rax
bell bel hae hay
aerie airy plainer planar
cellar sellar ferrule feral
concent consent pease pees
annalist analyst klick click
ai eye when wen
adherence adherents tail taille
seal ceil correspondence correspondents
correspondents correspondence house hows
xi psi shyer shire
cay key lowed lode
kneed need sine sign
instance instants lyre lier
cubical cubicle gnaw nor
axes axis incompetents incompetence
joule dual feral ferrule
aery airy wear ware
rhumb rum surf serf
klick clique martial marshal
bel bell brood brewed
burr bur weed we'd
bail bale lays leis
sari sorry tough tuff
no know you're yaw
bard barred loess less
baler bailer shanty chantey
cue queue veracious voracious
purist purest rows rose
aerie aery nae nay
canape canopy rowed rode
hi high whey way
peke peak sees seas
peas pease receipt reseat
aerie aery bailey bailie
dun done tis tease
bays beys serif seraph
caul call pah pa
cubical cubicle ferry fairy
based baste paid payed
coal cole populace populous
story storey wile while
grip grippe versed verst
doe do lyre lier
sell cell rale rail
soak soke thrown throne
apatite appetite undo undue
miner mynah tonne ton
heal he'll presence presents
hire higher pause pores
champagne champaign chard charred
braes brays redd red
mesne mien pee pe
mho mow rowed road
baize beys caste cast
grizzly grisly meatier meteor
ban bann hansom handsome
caddy cadi prase praise
independents independence pease pes
fane fain retch wretch
browse brows limb limn
coulee coulis inductants inductance
sink sync vail veil
dine dyne penned pend
scents cents jalousie jealousy
tope taupe tee tea
innocence innocents wracks racks
aerial areal mynah miner
guyed guide must mussed
broom brougham furze firs
boar bore past passed
pinon pinion sum some
sou sue wacks wax
precedence presidents teas tease
rime rhyme windless windlass
cirrous serous it's its
hare hair rest wrest
ads adds ayre are
sunn sun way weigh
bel bell epic epoch
joule jewel forth fourth
halve have rows rose
carat carrot sax sacks
independence independents mein mane
adherents adherence craft kraft
cyst cist medlar meddler
pore pour sou sue
conch conk mho mot
dour dower pensile pencil
bootee booty insure ensure
ass as hist hissed
burd bird hole whole
box bocks loose luce
florescence fluorescents hear here
krater crater toon tune
bailie bailee pours paws
irrupt erupt you'll yule
tenor tenner we'd weed
night knight permanence permanents
faker fakir pocks pox
sprits spritz wins winze
acclimation acclamation hoop whoop
kitten chiton pecten pectin
mane main meteor meatier
incompetence incompetents ruse rues
bailor bailer fisher fissure
mettle metal pique peke
immanent imminent tier tyre
exalt exult putty puttee
flare flair stoop stoup
plainer planer worn warn
banned band pinion pinon
cannon canon week weak
peer pier they're there
bee be yore yaw
heigh hae resistants resistance
bow beau rode rowed
cozen cousin staid stayed
assent ascent pair pear
cheque check source sauce
fair fare stere steer
leaf lief rapped rapt
leas lays rough ruff
brows browse hertz hurts
rood rued sun sunn
kraft craft jinx jinks
martial marshal wacks whacks
friar fryer gallipot galipot
clue clew pleural plural
sent scent taut tort
aerie aery whey way
baron barren crummie crummy
phew few stater stator
dentil dental the thee
jive gyve lane lain
leid lade tee tea
marque mark you're yaw
fain fane pale pail
correspondence correspondents lieder leader
paws pause wright write
morn mourn tune toon
krater crater weld welled
sac sack tix tics
counsel council missable miscible
rota rotor sleeve sleave
casque cask faker fakir
cirrus cirrous overseas oversees
douse dowse ire eyer
knock nock pours pores
you ewe lief leaf
buccal buckle tail taille
