# Word1	Word2	Edit Distance
i'd	eyed	1.0
i'd	ide	1.0
eyed	ide	1.0
i'll	aisle	1.0
i'll	isle	1.0
aisle	isle	1.0
i	ai	1.0
i	aye	1.0
i	eye	1.0
ai	aye	1.0
ai	eye	1.0
aye	eye	1.0
sunday	sundae	0.8
acclamation	acclimation	1.0
ad	add	1.0
adds	ads	1.0
adherence	adherents	0.777777777778
adolescence	adolescents	0.9
aerie	airy	1.0
aerie	eyrie	1.0
airy	eyrie	1.0
aid	aide	1.0
ail	ale	1.0
air	are	0.5
air	ayre	1.0
air	ere	1.0
air	eyre	1.0
air	heir	1.0
are	ayre	0.5
are	ere	0.5
are	eyre	0.5
are	heir	0.5
ayre	ere	1.0
ayre	eyre	1.0
ayre	heir	1.0
ere	eyre	1.0
ere	heir	1.0
eyre	heir	1.0
ate	eight	1.0
allowed	aloud	1.0
allusion	illusion	0.833333333333
alms	arms	0.75
altar	alter	1.0
ant	aunt	1.0
ante	anti	1.0
ante	auntie	1.0
anti	auntie	1.0
apatite	appetite	1.0
arc	ark	1.0
aren't	aunt	0.5
as	ass	0.5
ascent	assent	1.0
assistance	assistants	0.888888888889
attendance	attendants	0.888888888889
auger	augur	1.0
aural	oral	1.0
awe	oar	0.5
awe	or	0.5
awe	ore	0.5
oar	or	1.0
oar	ore	1.0
or	ore	1.0
axel	axle	1.0
axes	axis	0.6
ayes	eyes	1.0
bad	bade	0.666666666667
bail	bale	1.0
bailey	bailie	1.0
bailer	bailor	1.0
bailer	baler	1.0
bailor	baler	1.0
bait	bate	1.0
baize	bays	1.0
bald	balled	1.0
bald	bawled	1.0
balled	bawled	1.0
ball	bawl	1.0
balm	bomb	1.0
baloney	bologna	1.0
ban	bann	1.0
band	banned	1.0
bar	barre	1.0
bard	barred	1.0
bare	bear	1.0
baron	barren	1.0
barrel	beryl	1.0
basal	basil	0.6
base	bass	1.0
based	baste	1.0
bask	basque	1.0
bat	batt	1.0
baud	bawd	1.0
bay	bey	1.0
bazaar	bizarre	1.0
be	bee	1.0
beach	beech	1.0
bean	been	0.666666666667
beat	beet	1.0
beau	bow	1.0
been	bin	1.0
beer	bier	0.666666666667
bees	bise	0.666666666667
beetle	betel	0.8
bel	bell	1.0
bel	belle	1.0
bell	belle	1.0
belligerence	belligerents	0.9
berg	burg	1.0
berry	bury	1.0
berth	birth	1.0
better	bettor	1.0
bi	buy	1.0
bi	by	1.0
bi	bye	1.0
buy	by	1.0
